identifier;title;courseCredits;Center;AcademicDepartment;isCurrentlyOffered;TeachingUniversity;Term;YearOfStudy;ClassHours;MonitoringHours;NonAttendanceHours;courseHours;typology;BacherlorsDegree;homepage;EnglishFriendly;TeachingStaff
"G915";"Dirección Internacional";6,00;"FACULTAD DE CIENCIAS ECONOMICAS Y EMPRESARIALES";"DPTO. ADMINISTRACION DE EMPRESAS";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"4";60;3;87;150;"OPTATIVA";"Grado en Administración y Dirección de Empresas";"https://web.unican.es/estudios/detalle-asignatura?c=G915&p=116";"Si";"1 - Profesor Asociado; 1 - Profesor Contratado Doctor;"
"G611";"Dirección y Gestión de la Producción Energética";6,00;"ESCUELA POLITECNICA DE INGENIERIA DE MINAS Y ENERGIA";"DPTO. TRANSPORTES Y TECNOLOGIA DE PROYECTOS Y PROCESOS";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"3";60;4;86;150;"OPTATIVA";"Grado en Ingeniería de los Recursos Energéticos";"https://web.unican.es/estudios/detalle-asignatura?c=G611&p=101";"Si";"2 - Profesor Ayudante Doctor;"
"G642";"Dirección y Gestión de la Producción Minera";6,00;"ESCUELA POLITECNICA DE INGENIERIA DE MINAS Y ENERGIA";"DPTO. TRANSPORTES Y TECNOLOGIA DE PROYECTOS Y PROCESOS";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"3";60;4;86;150;"OPTATIVA";"Grado en Ingeniería de los Recursos Mineros";"https://web.unican.es/estudios/detalle-asignatura?c=G642&p=102";"Si";"1 - Profesor Ayudante Doctor;"
"G1009";"Diseño Avanzado de PCBs";6,00;"ESCUELA TECNICA SUPERIOR DE INGENIEROS INDUSTRIALES Y DE TELECOMUNICACION";"DPTO. TECNOLOGIA ELECTRONICA E INGENIERIA DE SISTEMAS Y AUTOMATICA";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"4";60;15;75;150;"OPTATIVA";"Grado en Ingeniería en Electrónica Industrial y Automática";"https://web.unican.es/estudios/detalle-asignatura?c=G1009&p=107";"Si";"1 - No definido; 1 - Profesor Contratado Doctor;"
"G682";"Diseño de Algoritmos";6,00;"FACULTAD DE CIENCIAS";"DPTO. MATEMATICAS, ESTADISTICA Y COMPUTACION";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"4";40;15;75;130;"OPTATIVA";"Grado en Ingeniería Informática";"https://web.unican.es/estudios/detalle-asignatura?c=G682&p=98";"No";"1 - Catedrático de Universidad;"
"G1012";"Diseño de Aplicaciones Electrónicas";6,00;"ESCUELA TECNICA SUPERIOR DE INGENIEROS INDUSTRIALES Y DE TELECOMUNICACION";"DPTO. TECNOLOGIA ELECTRONICA E INGENIERIA DE SISTEMAS Y AUTOMATICA";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"4";60;22;68;150;"OPTATIVA";"Grado en Ingeniería en Electrónica Industrial y Automática";"https://web.unican.es/estudios/detalle-asignatura?c=G1012&p=107";"Si";"1 - Profesor Contratado Doctor;"
"G723";"Diseño de Elementos de Máquinas";6,00;"ESCUELA TECNICA SUPERIOR DE INGENIEROS INDUSTRIALES Y DE TELECOMUNICACION";"DPTO. INGENIERIA ESTRUCTURAL Y MECANICA";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"4";50;9;81;140;"OPTATIVA";"Grado en Ingeniería en Tecnologías Industriales";"https://web.unican.es/estudios/detalle-asignatura?c=G723&p=108";"Si";"1 - Profesor Asociado; 1 - Profesor Titular de Universidad;"
"G783";"Diseño de Procesos Químicos";6,00;"ESCUELA TECNICA SUPERIOR DE INGENIEROS INDUSTRIALES Y DE TELECOMUNICACION";"DPTO. DE QUIMICA E INGENIERIA DE PROCESOS Y RECURSOS.";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"3";30;25;65;120;"OBLIGATORIA";"Grado en Ingeniería Química";"https://web.unican.es/estudios/detalle-asignatura?c=G783&p=113";"Si";"1 - Catedrático de Universidad; 1 - Profesor Contratado Doctor;"
"G1016";"Diseño de Sistemas de Control, Aplicaciones";6,00;"ESCUELA TECNICA SUPERIOR DE INGENIEROS INDUSTRIALES Y DE TELECOMUNICACION";"DPTO. TECNOLOGIA ELECTRONICA E INGENIERIA DE SISTEMAS Y AUTOMATICA";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"4";60;15;75;150;"OPTATIVA";"Grado en Ingeniería en Electrónica Industrial y Automática";"https://web.unican.es/estudios/detalle-asignatura?c=G1016&p=107";"No";"2 - Profesor Contratado Doctor;"
"G1006";"Diseño de Sistemas Electrónicos Digitales";6,00;"ESCUELA TECNICA SUPERIOR DE INGENIEROS INDUSTRIALES Y DE TELECOMUNICACION";"DPTO. TECNOLOGIA ELECTRONICA E INGENIERIA DE SISTEMAS Y AUTOMATICA";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"3";60;22;68;150;"OBLIGATORIA";"Grado en Ingeniería en Electrónica Industrial y Automática";"https://web.unican.es/estudios/detalle-asignatura?c=G1006&p=107";"Si";"1 - Catedrático de Universidad; 1 - Profesor Asociado; 1 - Profesor Contratado Doctor;"
"G666";"Diseño de Software";6,00;"FACULTAD DE CIENCIAS";"DPTO. INGENIERÍA INFORMÁTICA Y ELECTRÓNICA";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"4";30;14;76;120;"OPTATIVA";"Grado en Ingeniería Informática";"https://web.unican.es/estudios/detalle-asignatura?c=G666&p=98";"Si";"1 - Profesor Contratado Doctor;"
"G777";"Diseño Mecánico de Equipos e Instalaciones";6,00;"ESCUELA TECNICA SUPERIOR DE INGENIEROS INDUSTRIALES Y DE TELECOMUNICACION";"DPTO. INGENIERIA ESTRUCTURAL Y MECANICA";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"3";60;8;82;150;"OBLIGATORIA";"Grado en Ingeniería Química";"https://web.unican.es/estudios/detalle-asignatura?c=G777&p=113";"Si";"1 - Profesor Titular de Universidad;"
"G674";"Diseño y Administración de Redes";6,00;"FACULTAD DE CIENCIAS";"DPTO. INGENIERIA DE COMUNICACIONES";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"4";60;15;75;150;"OPTATIVA";"Grado en Ingeniería Informática";"https://web.unican.es/estudios/detalle-asignatura?c=G674&p=98";"Si";"1 - Profesor Titular  Escuela Universitaria; 1 - Profesor Titular de Universidad;"
"G874";"Diseño y Cálculo de Máquinas Eléctricas";6,00;"ESCUELA TECNICA SUPERIOR DE INGENIEROS INDUSTRIALES Y DE TELECOMUNICACION";"DPTO. INGENIERIA ELECTRICA Y ENERGETICA";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"3";60;15;75;150;"OBLIGATORIA";"Grado en Ingeniería Eléctrica";"https://web.unican.es/estudios/detalle-asignatura?c=G874&p=103";"No";"1 - Catedrático de Universidad; 1 - Profesor Asociado;"
"G755";"Diseño y Ensayo de Máquinas";6,00;"ESCUELA TECNICA SUPERIOR DE INGENIEROS INDUSTRIALES Y DE TELECOMUNICACION";"DPTO. INGENIERIA ESTRUCTURAL Y MECANICA";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"4";50;9;81;140;"OBLIGATORIA";"Grado en Ingeniería Mecánica";"https://web.unican.es/estudios/detalle-asignatura?c=G755&p=109";"Si";"1 - Profesor Asociado; 1 - Profesor Titular de Universidad;"
"G679";"Diseño y Gestión de Sistemas Informáticos";6,00;"FACULTAD DE CIENCIAS";"DPTO. INGENIERÍA INFORMÁTICA Y ELECTRÓNICA";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"4";20;15;75;110;"OPTATIVA";"Grado en Ingeniería Informática";"https://web.unican.es/estudios/detalle-asignatura?c=G679&p=98";"No";"1 - Profesor Asociado; 1 - Titulado/a Universitario;"
"G1949";"Diseño y Producción de Fármacos";6,00;"FACULTAD DE MEDICINA";"DPTO. FISIOLOGIA Y FARMACOLOGIA";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"4";51;7;90;148;"OPTATIVA";"Grado en Ciencias Biomédicas";"https://web.unican.es/estudios/detalle-asignatura?c=G1949&p=211";"No";"1 - Profesor Contratado Doctor; 1 - Profesor Permanente Laboral; 4 - Profesor Titular de Universidad;"
"G288";"Dispositivos Electrónicos y Fotónicos";6,00;"ESCUELA TECNICA SUPERIOR DE INGENIEROS INDUSTRIALES Y DE TELECOMUNICACION";"DPTO. TECNOLOGIA ELECTRONICA E INGENIERIA DE SISTEMAS Y AUTOMATICA";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"1";67;15;67;150;"BÁSICA";"Grado en Ingeniería de Tecnologías de Telecomunicación";"https://web.unican.es/estudios/detalle-asignatura?c=G288&p=99";"Si";"1 - Catedrático de Universidad; 3 - Profesor Titular de Universidad;"
"G992";"Dispositivos y Circuitos Electrónicos";6,00;"ESCUELA TECNICA SUPERIOR DE INGENIEROS INDUSTRIALES Y DE TELECOMUNICACION";"DPTO. TECNOLOGIA ELECTRONICA E INGENIERIA DE SISTEMAS Y AUTOMATICA";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"2";60;15;75;150;"OBLIGATORIA";"Grado en Ingeniería en Electrónica Industrial y Automática";"https://web.unican.es/estudios/detalle-asignatura?c=G992&p=107";"Si";"1 - No definido; 1 - Catedrático de Universidad; 1 - Profesor Contratado Doctor;"
"G992";"Dispositivos y Circuitos Electrónicos";6,00;"ESCUELA TECNICA SUPERIOR DE INGENIEROS INDUSTRIALES Y DE TELECOMUNICACION";"DPTO. TECNOLOGIA ELECTRONICA E INGENIERIA DE SISTEMAS Y AUTOMATICA";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"2";60;15;75;150;"OBLIGATORIA";"Grado en Ingeniería en Electrónica Industrial y Automática";"https://web.unican.es/estudios/detalle-asignatura?c=G992&p=107";"Si";"1 - No definido; 1 - Catedrático de Universidad; 1 - Profesor Contratado Doctor;"
"G922";"Distribución Comercial";6,00;"FACULTAD DE CIENCIAS ECONOMICAS Y EMPRESARIALES";"DPTO. ADMINISTRACION DE EMPRESAS";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"4";60;7;82;150;"OPTATIVA";"Grado en Administración y Dirección de Empresas";"https://web.unican.es/estudios/detalle-asignatura?c=G922&p=116";"No";"1 - Catedrático de Universidad; 1 - Profesor Ayudante Doctor;"
"G879";"Domótica y Luminotecnia";6,00;"ESCUELA TECNICA SUPERIOR DE INGENIEROS INDUSTRIALES Y DE TELECOMUNICACION";;False;;"Cuatrimestral";"4";0;0;0;0;"OPTATIVA";"Grado en Ingeniería Eléctrica";"https://web.unican.es/estudios/detalle-asignatura?c=G879&p=103";;
"G784";"Dynamics and Control of Chemical Processes";6,00;"ESCUELA TECNICA SUPERIOR DE INGENIEROS INDUSTRIALES Y DE TELECOMUNICACION";"DPTO. INGENIERIAS QUIMICA Y BIOMOLECULAR";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"3";30;23;67;120;"OBLIGATORIA";"Grado en Ingeniería Química";"https://web.unican.es/estudios/detalle-asignatura?c=G784&p=113";"No";"1 - Catedrático de Universidad; 2 - Profesor Titular de Universidad;"
"G895";"Econometría";6,00;"FACULTAD DE CIENCIAS ECONOMICAS Y EMPRESARIALES";"DPTO. ECONOMIA";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"3";30;7;82;120;"OBLIGATORIA";"Grado en Administración y Dirección de Empresas";"https://web.unican.es/estudios/detalle-asignatura?c=G895&p=116";"No";"1 - Profesor Permanente Laboral;"
"G944";"Econometría Aplicada";6,00;"FACULTAD DE CIENCIAS ECONOMICAS Y EMPRESARIALES";"DPTO. ECONOMIA";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"4";30;7;82;120;"OBLIGATORIA";"Grado en Economía";"https://web.unican.es/estudios/detalle-asignatura?c=G944&p=117";"Si";"1 - Profesor Titular de Universidad;"
"G942";"Econometría I";6,00;"FACULTAD DE CIENCIAS ECONOMICAS Y EMPRESARIALES";"DPTO. ECONOMIA";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"2";30;7;82;120;"OBLIGATORIA";"Grado en Economía";"https://web.unican.es/estudios/detalle-asignatura?c=G942&p=117";"Si";"1 - Catedrático de Universidad; 1 - Profesor Ayudante Doctor;"
"G942";"Econometría I";6,00;"FACULTAD DE CIENCIAS ECONOMICAS Y EMPRESARIALES";"DPTO. ECONOMIA";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"2";30;7;82;120;"OBLIGATORIA";"Grado en Economía";"https://web.unican.es/estudios/detalle-asignatura?c=G942&p=117";"Si";"1 - Catedrático de Universidad; 1 - Profesor Ayudante Doctor;"
"G943";"Econometría II";6,00;"FACULTAD DE CIENCIAS ECONOMICAS Y EMPRESARIALES";"DPTO. ECONOMIA";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"3";30;7;82;120;"OBLIGATORIA";"Grado en Economía";"https://web.unican.es/estudios/detalle-asignatura?c=G943&p=117";"Si";"1 - Profesor Permanente Laboral; 1 - Profesor Titular de Universidad;"
"G1637";"Econometrics II";6,00;"FACULTAD DE CIENCIAS ECONOMICAS Y EMPRESARIALES";"DPTO. ECONOMIA";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"3";30;7;82;120;"OBLIGATORIA";"Grado en Economía";"https://web.unican.es/estudios/detalle-asignatura?c=G1637&p=117";"No";"1 - Profesor Permanente Laboral; 1 - Profesor Titular de Universidad;"
"G949";"Economía Aplicada";6,00;"FACULTAD DE CIENCIAS ECONOMICAS Y EMPRESARIALES";"DPTO. ECONOMIA";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"3";48;7;82;138;"OBLIGATORIA";"Grado en Economía";"https://web.unican.es/estudios/detalle-asignatura?c=G949&p=117";"No";"1 - Profesor Ayudante Doctor; 2 - Profesor Titular de Universidad;"
"G955";"Economía de los Recursos Naturales";6,00;"FACULTAD DE CIENCIAS ECONOMICAS Y EMPRESARIALES";"DPTO. ECONOMIA";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"4";60;7;82;150;"OPTATIVA";"Grado en Economía";"https://web.unican.es/estudios/detalle-asignatura?c=G955&p=117";"No";"1 - Profesor de Sustitución; 1 - Profesor Titular de Universidad;"
"G946";"Economía del Gasto Social";6,00;"FACULTAD DE CIENCIAS ECONOMICAS Y EMPRESARIALES";"DPTO. ECONOMIA";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"3";45;7;82;135;"OBLIGATORIA";"Grado en Economía";"https://web.unican.es/estudios/detalle-asignatura?c=G946&p=117";"Si";"1 - Catedrático de Universidad; 1 - Profesor Titular de Universidad;"
"G1227";"Economía del Trabajo";6,00;"FACULTAD DE DERECHO";"DPTO. ECONOMIA";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"4";60;9;80;150;"OPTATIVA";"Grado en Relaciones Laborales";"https://web.unican.es/estudios/detalle-asignatura?c=G1227&p=118";"Si";"1 - Catedrático de Universidad;"
"G954";"Economía del Transporte";6,00;"FACULTAD DE CIENCIAS ECONOMICAS Y EMPRESARIALES";"DPTO. ECONOMIA";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"3";60;7;82;150;"OPTATIVA";"Grado en Economía";"https://web.unican.es/estudios/detalle-asignatura?c=G954&p=117";"Si";"1 - Catedrático de Universidad; 1 - Profesor Contratado Doctor; 1 - Profesor de Sustitución;"
"G948";"Economía Española";6,00;"FACULTAD DE CIENCIAS ECONOMICAS Y EMPRESARIALES";"DPTO. ECONOMIA";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"2";48;7;82;138;"OBLIGATORIA";"Grado en Economía";"https://web.unican.es/estudios/detalle-asignatura?c=G948&p=117";"Si";"1 - Profesor Contratado Doctor; 1 - Profesor de Sustitución;"
"G948";"Economía Española";6,00;"FACULTAD DE CIENCIAS ECONOMICAS Y EMPRESARIALES";"DPTO. ECONOMIA";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"2";48;7;82;138;"OBLIGATORIA";"Grado en Economía";"https://web.unican.es/estudios/detalle-asignatura?c=G948&p=117";"Si";"1 - Profesor Contratado Doctor; 1 - Profesor de Sustitución;"
"G953";"Economía Industrial";6,00;"FACULTAD DE CIENCIAS ECONOMICAS Y EMPRESARIALES";"DPTO. ECONOMIA";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"3";50;7;82;140;"OPTATIVA";"Grado en Economía";"https://web.unican.es/estudios/detalle-asignatura?c=G953&p=117";"No";"1 - Catedrático de Universidad; 1 - Profesor de Sustitución;"
"G940";"Economía Internacional";6,00;"FACULTAD DE CIENCIAS ECONOMICAS Y EMPRESARIALES";"DPTO. ECONOMIA";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"4";60;7;82;150;"OBLIGATORIA";"Grado en Economía";"https://web.unican.es/estudios/detalle-asignatura?c=G940&p=117";"No";"1 - Catedrático de Universidad;"
"G957";"Economía Monetaria y Financiera";6,00;"FACULTAD DE CIENCIAS ECONOMICAS Y EMPRESARIALES";"DPTO. ECONOMIA";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"4";48;7;82;138;"OPTATIVA";"Grado en Economía";"https://web.unican.es/estudios/detalle-asignatura?c=G957&p=117";"Si";"1 - Catedrático de Universidad;"
"G931";"Economía Mundial";6,00;"FACULTAD DE CIENCIAS ECONOMICAS Y EMPRESARIALES";"DPTO. ECONOMIA";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"2";48;7;82;138;"BÁSICA";"Grado en Economía";"https://web.unican.es/estudios/detalle-asignatura?c=G931&p=117";"Si";"1 - Catedrático de Universidad; 1 - Profesor de Sustitución; 2 - Profesor Titular de Universidad;"
"G931";"Economía Mundial";6,00;"FACULTAD DE CIENCIAS ECONOMICAS Y EMPRESARIALES";"DPTO. ECONOMIA";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"2";48;7;82;138;"BÁSICA";"Grado en Economía";"https://web.unican.es/estudios/detalle-asignatura?c=G931&p=117";"Si";"1 - Catedrático de Universidad; 1 - Profesor de Sustitución; 2 - Profesor Titular de Universidad;"
"G945";"Economía Pública";6,00;"FACULTAD DE CIENCIAS ECONOMICAS Y EMPRESARIALES";"DPTO. ECONOMIA";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"3";45;7;82;135;"OBLIGATORIA";"Grado en Economía";"https://web.unican.es/estudios/detalle-asignatura?c=G945&p=117";"Si";"1 - Catedrático de Universidad; 2 - Profesor Titular de Universidad;"
"G960";"Economía Regional";6,00;"FACULTAD DE CIENCIAS ECONOMICAS Y EMPRESARIALES";"DPTO. ECONOMIA";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"3";45;7;82;135;"OPTATIVA";"Grado en Economía";"https://web.unican.es/estudios/detalle-asignatura?c=G960&p=117";"Si";"1 - Profesor Ayudante Doctor; 1 - Profesor Titular de Universidad;"
"G1971";"Economía y Administración de Empresas";6,00;"ESCUELA TECNICA SUPERIOR DE INGENIEROS DE CAMINOS, CANALES Y PUERTOS";"DPTO. ADMINISTRACION DE EMPRESAS";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"2";60;20;70;150;"BÁSICA";"Grado en Ingeniería Civil";"https://web.unican.es/estudios/detalle-asignatura?c=G1971&p=212";"Si";"1 - Profesor Contratado Doctor;"
"G1971";"Economía y Administración de Empresas";6,00;"ESCUELA TECNICA SUPERIOR DE INGENIEROS DE CAMINOS, CANALES Y PUERTOS";"DPTO. ADMINISTRACION DE EMPRESAS";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"2";60;20;70;150;"BÁSICA";"Grado en Ingeniería Civil";"https://web.unican.es/estudios/detalle-asignatura?c=G1971&p=212";"Si";"1 - Profesor Contratado Doctor;"
"G270";"Economía y Administración de Empresas";6,00;"FACULTAD DE CIENCIAS";"DPTO. ADMINISTRACION DE EMPRESAS";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"2";60;15;75;150;"BÁSICA";"Grado en Ingeniería Informática";"https://web.unican.es/estudios/detalle-asignatura?c=G270&p=98";"No";"1 - Profesor de Sustitución;"
"G270";"Economía y Administración de Empresas";6,00;"FACULTAD DE CIENCIAS";"DPTO. ADMINISTRACION DE EMPRESAS";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"2";60;15;75;150;"BÁSICA";"Grado en Ingeniería Informática";"https://web.unican.es/estudios/detalle-asignatura?c=G270&p=98";"No";"1 - Profesor de Sustitución;"
"G325";"Economía y Administración de Empresas";6,00;"ESCUELA TECNICA SUPERIOR DE INGENIEROS INDUSTRIALES Y DE TELECOMUNICACION";"DPTO. ADMINISTRACION DE EMPRESAS";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"1";60;20;70;150;"BÁSICA";"Grado en Ingeniería Química";"https://web.unican.es/estudios/detalle-asignatura?c=G325&p=113";"No";"1 - Profesor de Sustitución;"
"G382";"Economía y Administración de Empresas";6,00;"ESCUELA POLITECNICA DE INGENIERIA DE MINAS Y ENERGIA";"DPTO. ADMINISTRACION DE EMPRESAS";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"1";60;10;80;150;"BÁSICA";"Grado en Ingeniería de los Recursos Energéticos";"https://web.unican.es/estudios/detalle-asignatura?c=G382&p=101";"Si";"1 - Profesor Contratado Doctor;"
"G392";"Economía y Administración de Empresas";6,00;"ESCUELA POLITECNICA DE INGENIERIA DE MINAS Y ENERGIA";"DPTO. ADMINISTRACION DE EMPRESAS";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"1";60;10;80;150;"BÁSICA";"Grado en Ingeniería de los Recursos Mineros";"https://web.unican.es/estudios/detalle-asignatura?c=G392&p=102";"Si";"1 - Profesor Contratado Doctor;"
"G813";"Economía y Administración de Empresas";6,00;"ESCUELA TECNICA SUPERIOR DE INGENIEROS INDUSTRIALES Y DE TELECOMUNICACION";"DPTO. ADMINISTRACION DE EMPRESAS";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"2";60;20;70;150;"BÁSICA";"Grado en Ingeniería de Tecnologías de Telecomunicación";"https://web.unican.es/estudios/detalle-asignatura?c=G813&p=99";"No";"1 - Profesor de Sustitución;"
"G813";"Economía y Administración de Empresas";6,00;"ESCUELA TECNICA SUPERIOR DE INGENIEROS INDUSTRIALES Y DE TELECOMUNICACION";"DPTO. ADMINISTRACION DE EMPRESAS";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"2";60;20;70;150;"BÁSICA";"Grado en Ingeniería de Tecnologías de Telecomunicación";"https://web.unican.es/estudios/detalle-asignatura?c=G813&p=99";"No";"1 - Profesor de Sustitución;"
"G359";"Economía y Hacienda Pública";6,00;"FACULTAD DE DERECHO";"DPTO. ECONOMIA";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"1";48;15;75;138;"BÁSICA";"Grado en Derecho";"https://web.unican.es/estudios/detalle-asignatura?c=G359&p=119";"No";"1 - Profesor Contratado Doctor; 1 - Profesor Titular de Universidad;"
"G719";"Economía y Política Ambiental";6,00;"ESCUELA TECNICA SUPERIOR DE INGENIEROS INDUSTRIALES Y DE TELECOMUNICACION";"DPTO. ADMINISTRACION DE EMPRESAS";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"4";60;20;70;150;"OPTATIVA";"Grado en Ingeniería en Tecnologías Industriales";"https://web.unican.es/estudios/detalle-asignatura?c=G719&p=108";"Si";"1 - Profesor Contratado Doctor; 1 - Profesor Titular de Universidad;"
"G1886";"Economic and Financial System";6,00;"FACULTAD DE CIENCIAS ECONOMICAS Y EMPRESARIALES";"DPTO. ECONOMIA";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"3";60;7;82;150;"OBLIGATORIA";"Grado en Economía";"https://web.unican.es/estudios/detalle-asignatura?c=G1886&p=117";"No";"1 - Profesor Ayudante Doctor; 1 - Profesor Titular de Universidad;"
"G1822";"Economic Growth";6,00;"FACULTAD DE CIENCIAS ECONOMICAS Y EMPRESARIALES";"DPTO. ECONOMIA";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"4";60;7;82;150;"OPTATIVA";"Grado en Economía";"https://web.unican.es/estudios/detalle-asignatura?c=G1822&p=117";"No";"1 - Profesor Contratado Doctor;"
"G83";"Ecuaciones Diferenciales Ordinarias";6,00;"FACULTAD DE CIENCIAS";"DPTO. MATEMATICAS, ESTADISTICA Y COMPUTACION";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"2";59;18;72;149;"OBLIGATORIA";"Grado en Matemáticas";"https://web.unican.es/estudios/detalle-asignatura?c=G83&p=68";"No";"1 - Profesor Titular de Universidad;"
"G83";"Ecuaciones Diferenciales Ordinarias";6,00;"FACULTAD DE CIENCIAS";"DPTO. MATEMATICAS, ESTADISTICA Y COMPUTACION";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"2";59;18;72;149;"OBLIGATORIA";"Grado en Matemáticas";"https://web.unican.es/estudios/detalle-asignatura?c=G83&p=68";"No";"1 - Profesor Titular de Universidad;"
"G1988";"Edificación";6,00;"ESCUELA TECNICA SUPERIOR DE INGENIEROS DE CAMINOS, CANALES Y PUERTOS";"DPTO. INGENIERIA ESTRUCTURAL Y MECANICA";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"4";54;15;75;144;"OBLIGATORIA";"Grado en Ingeniería Civil";"https://web.unican.es/estudios/detalle-asignatura?c=G1988&p=212";"No";"1 - No definido; 1 - Profesor Titular de Universidad;"
"G533";"Educación de la Mirada: Cine y Escuela";6,00;"FACULTAD DE EDUCACION";"DPTO. EDUCACION";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"3";60;15;75;150;"OPTATIVA";"Grado en Magisterio en Educación Infantil";"https://web.unican.es/estudios/detalle-asignatura?c=G533&p=110";"No";"1 - Profesor Contratado Doctor;"
"G515";"Educación Física: Habilidades Motrices y Acondicionamiento Físico";6,00;"FACULTAD DE EDUCACION";"DPTO. EDUCACION";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"4";60;15;75;150;"OPTATIVA";"Grado en Magisterio en Educación Primaria";"https://web.unican.es/estudios/detalle-asignatura?c=G515&p=111";"No";"1 - Profesor Ayudante Doctor; 1 - Profesor Permanente Laboral; 1 - Tecnico Titulados Universitarios;"
"G1025";"Educación y Promoción de la Salud";6,00;"FACULTAD DE ENFERMERÍA";"DPTO. ENFERMERIA";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"2";60;9;81;150;"OBLIGATORIA";"Grado en Enfermería";"https://web.unican.es/estudios/detalle-asignatura?c=G1025&p=120";"No";"1 - Profesor Asociado; 1 - Profesor de Sustitución; 1 - Profesor Titular  Escuela Universitaria;"
"G1025";"Educación y Promoción de la Salud";6,00;"FACULTAD DE ENFERMERÍA";"DPTO. ENFERMERIA";False;"UNIVERSIDAD DE CANTABRIA";"Cuatrimestral";"2";60;9;81;150;"OBLIGATORIA";"Grado en Enfermería";"https://web.unican.es/estudios/detalle-asignatura?c=G1025&p=120";"No";"1 - Profesor Asociado; 1 - Profesor de Sustitución; 1 - Profesor Titular  Escuela Universitaria;"
